name,release date,stockx search,price
Prodigy Tee,2/15/2018,Prodigy-Tee-black,70
Molotov Tee,2/15/2018,Molotov-Tee-black,59
Chair Tee,2/15/2018,Chair-Tee-black,55
Chart Tee,2/15/2018,Chart-Tee-black,85
Ripple L/S Tee,2/15/2018,Ripple-ls-Tee-black,95
FTW Tee,2/22/2018,FTW-Tee-black,124
Cards Tee,2/22/2018,Cards-Tee-black,91
Chicken Dinner Tee,2/22/2018,Chicken-Dinner-Tee-black,117
Necklace Tee,2/22/2018,Necklace-Tee-black,153
Jellyfish Tee,2/22/2018,Jellyfish-Tee-black,98
Prodigy Tee,2/22/2018,Prodigy-Tee-black,70
Molotov Tee,2/22/2018,Molotov-Tee-black,59
Chair Tee,2/22/2018,Chair-Tee-black,55
Chart Tee,2/22/2018,Chart-Tee-black,85
Ripple L/S Tee,2/22/2018,Ripple-ls-Tee-black,95
Supreme®/UNDERCOVER/Public Enemy White House Tee,3/15/2018,Supreme-UNDERCOVER-Public-Enemy-White-House-Tee-black,89
Supreme®/UNDERCOVER/Public Enemy Tee,3/15/2018,Supreme-UNDERCOVER-Public-Enemy-Tee-black,73
Supreme®/UNDERCOVER/Public Enemy Counterattack L/S Tee,3/15/2018,Supreme-UNDERCOVER-Public-Enemy-Counterattack-ls-Tee-black,86
Supreme®/UNDERCOVER/Public Enemy Terrordome Tee,3/15/2018,Supreme-UNDERCOVER-Public-Enemy-Terrordome-Tee-black,83
TV Tee,3/29/2018,TV-Tee-black,172
Diamonds Tee,3/29/2018,Diamonds-Tee-black,125
Fiorenza Tee,3/29/2018,Fiorenza-Tee-black,66
Ladybug Tee,3/29/2018,Ladybug-Tee-black,56
Fuck Face Tee,3/29/2018,Fuck-Face-Tee-black,73
Nan Goldin/Supreme Kim in Rhinestone Tee,3/29/2018,Nan-Goldin-Supreme-Kim-in-Rhinestone-Tee-black,77
Nan Goldin/Supreme Misty and Jimmy Paulette Tee,3/29/2018,Nan-Goldin-Supreme-Misty-and-Jimmy-Paulette-Tee-black,65
Nan Goldin/Supreme Nan as a dominatrix Tee,3/29/2018,Nan-Goldin-Supreme-Nan-as-a-dominatrix-Tee-black,62
Supreme®/The North Face® Metallic Logo T-Shirt,4/5/2018,Supreme-The-North-Face-Metallic-Logo-T-Shirt-black,Bad search
Supreme/Hellraiser Hell on Earth Tee,4/26/2018,Supreme-Hellraiser-Hell-on-Earth-Tee-black,98
Supreme/Hellraiser Pinhead Tee,4/26/2018,Supreme-Hellraiser-Pinhead-Tee-black,101
Dream Tee,5/31/2018,Dream-Tee-black,73
Supreme®/Spitfire® Classic Swirl T-Shirt,6/21/2018,Supreme-Spitfire-Classic-Swirl-T-Shirt-black,Bad search
Supreme®/Spitfire® Cat T-Shirt,6/21/2018,Supreme-Spitfire-Cat-T-Shirt-black,Bad search
Rocks Tee,6/28/2018,Rocks-Tee-black,159
Mona Lisa Tee,6/28/2018,Mona-Lisa-Tee-black,174
Tentacles Tee,6/28/2018,Tentacles-Tee-black,128
Swimmers Tee,6/28/2018,Swimmers-Tee-black,82
Ganesha Tee,6/28/2018,Ganesha-Tee-black,69
Hardware Tee,6/28/2018,Hardware-Tee-black,100
Gonz Logo Tee,6/28/2018,Gonz-Logo-Tee-black,59
Madonna Tee,8/16/2018,Madonna-Tee-black,178
Liquid Tee,8/16/2018,Liquid-Tee-black,94
Still Life Tee,8/16/2018,Still-Life-Tee-black,88
1994 L/S Tee,8/16/2018,1994-ls-Tee-black,0
Bottle Cap Tee,8/16/2018,Bottle-Cap-Tee-black,69
Cutouts Tee,8/16/2018,Cutouts-Tee-black,75
Life Sucks Die Tee,8/16/2018,Life-Sucks-Die-Tee-black,64
Bedroom Tee,8/16/2018,Bedroom-Tee-black,59
Fuck You Tee,8/16/2018,Fuck-You-Tee-black,63
Guts Tee,8/16/2018,Guts-Tee-black,59
Madonna Tee,8/20/2018,Madonna-Tee-black,178
Liquid Tee,8/20/2018,Liquid-Tee-black,94
Still Life Tee,8/20/2018,Still-Life-Tee-black,88
1994 L/S Tee,8/20/2018,1994-ls-Tee-black,0
Bottle Cap Tee,8/20/2018,Bottle-Cap-Tee-black,69
Cutouts Tee,8/20/2018,Cutouts-Tee-black,75
Life Sucks Die Tee,8/20/2018,Life-Sucks-Die-Tee-black,64
Bedroom Tee,8/20/2018,Bedroom-Tee-black,59
Fuck You Tee,8/20/2018,Fuck-You-Tee-black,63
Guts Tee,8/20/2018,Guts-Tee-black,59
Mike Kelley/Supreme The Empire State Building Tee,9/6/2018,Mike-Kelley-Supreme-The-Empire-State-Building-Tee-black,70
Mike Kelley/Supreme Ahh…Youth! Tee,9/6/2018,Mike-Kelley-Supreme-Ahh…Youth!-Tee-black,126
Mike Kelley/Supreme Ahh…Youth! L/S Tee,9/6/2018,Mike-Kelley-Supreme-Ahh…Youth!-ls-Tee-black,Bad search
Mike Kelley/Supreme Hiding From Indians Tee,9/6/2018,Mike-Kelley-Supreme-Hiding-From-Indians-Tee-black,59
Supreme®/Comme des Garçons SHIRT® Split Box Logo Tee,9/13/2018,Supreme-Comme-des-Garçons-SHIRT-Split-Box-Logo-Tee-black,Bad search
Group Tee,9/20/2018,Group-Tee-black,127
Remember Tee,9/20/2018,Remember-Tee-black,81
Liquid Swords Tee,9/20/2018,Liquid-Swords-Tee-black,99
Eternal Tee,9/20/2018,Eternal-Tee-black,80
Payphone Tee,9/20/2018,Payphone-Tee-black,55
Faces Tee,9/20/2018,Faces-Tee-black,57
System Tee,9/20/2018,System-Tee-black,65
The Killer Trust Tee,10/25/2018,The-Killer-Trust-Tee-black,238
18 & Stormy Tee,11/1/2018,18--Stormy-Tee-black,Bad search
Chris Cunningham Chihuahua Tee,11/8/2018,Chris-Cunningham-Chihuahua-Tee-black,73
Chris Cunningham Rubber Johnny Tee,11/8/2018,Chris-Cunningham-Rubber-Johnny-Tee-black,51
"""BLESSED"" DVD + Tee",11/23/2018,"""BLESSED""-DVD-+-Tee-black",Bad search
Supreme®/The North Face® Photo Tee,11/29/2018,Supreme-The-North-Face-Photo-Tee-black,Bad search
Cat in the Hat Tee,12/13/2018,Cat-in-the-Hat-Tee-black,107
Marvin Gaye Tee,12/13/2018,Marvin-Gaye-Tee-black,79
Smile Tee,12/13/2018,Smile-Tee-black,104
Luden's® Tee,12/13/2018,Luden's-Tee-black,64
Bombay Tee,12/13/2018,Bombay-Tee-black,53
Creeper Tee,2/21/2019,Creeper-Tee-black,96
Christopher Walken King Of New York Tee,2/21/2019,Christopher-Walken-King-Of-New-York-Tee-black,Bad search
The Real Shit L/S Tee,2/21/2019,The-Real-Shit-ls-Tee-black,Bad search
