name,release date,stockx search,search quality
Queen Tee,2019-08-22,supreme-Queen-Tee-black,57
Levitation Tee,2019-08-22,supreme-Levitation-Tee-black,68
Faces L/S Tee,2019-08-22,supreme-Faces-ls-Tee-black,Bad search
Super Cream Tee,2019-08-22,supreme-Super-Cream-Tee-black,47
Banner Tee,2019-08-26,supreme-Banner-Tee-black,86
Smoke Tee,2019-08-26,supreme-Smoke-Tee-black,82
Mary J. Blige Tee,2019-08-26,supreme-Mary-J-Blige-Tee-black,79
Heaven and Earth Tee,2019-08-26,supreme-Heaven-and-Earth-Tee-black,59
Save The Planet Tee,2019-08-26,supreme-Save-The-Planet-Tee-black,50
New Shit Tee,2019-08-26,supreme-New-Shit-Tee-black,55
Queen Tee,2019-08-26,supreme-Queen-Tee-black,57
Levitation Tee,2019-08-26,supreme-Levitation-Tee-black,68
Faces L/S Tee,2019-08-26,supreme-Faces-ls-Tee-black,Bad search
Super Cream Tee,2019-08-26,supreme-Super-Cream-Tee-black,47
Supreme/The Velvet Underground Tee,2019-09-19,supreme--The-Velvet-Underground-Tee-black,Bad search
Supreme/The Velvet Underground & Nico Tee,2019-09-19,supreme--The-Velvet-Underground-Nico-Tee-black,Bad search
Supreme/The Velvet Underground Drawing Tee,2019-09-19,supreme--The-Velvet-Underground-Drawing-Tee-black,Bad search
Pillows Tee,2019-10-10,supreme-Pillows-Tee-black,74
Life Tee,2019-10-10,supreme-Life-Tee-black,57
Bible Tee,2019-10-10,supreme-Bible-Tee-black,76
Mercenary Tee,2019-10-10,supreme-Mercenary-Tee-black,58
American Picture Tee,2019-10-10,supreme-American-Picture-Tee-black,55
Cheese Tee,2019-10-10,supreme-Cheese-Tee-black,52
We're Back Tee,2019-10-10,supreme-We're-Back-Tee-black,Bad search
Inc. Tee,2019-10-10,supreme-Inc-Tee-black,56
Heroines Tee,2019-10-10,supreme-Heroines-Tee-black,65
SF Box Logo Tee,2019-10-24,supreme-SF-Box-Logo-Tee-black,Bad search
Supreme/dead prez Tee,2019-12-05,supreme--dead-prez-Tee-black,Bad search
Supreme/dead prez RBG Tee,2019-12-05,supreme--dead-prez-RBG-Tee-black,Bad search
Bandana Box Logo Tee,2019-12-19,supreme-Bandana-Box-Logo-Tee-black,312
Aguila Tee,2019-12-19,supreme-Aguila-Tee-black,79
Bite Tee,2019-12-19,supreme-Bite-Tee-black,62
Eat Me Tee,2019-12-19,supreme-Eat-Me-Tee-black,53
Bridge Tee,2019-12-19,supreme-Bridge-Tee-black,67
D'Hiver Tee,2019-12-19,supreme-D'Hiver-Tee-black,Bad search
Money Power Respect Tee,2019-12-19,supreme-Money-Power-Respect-Tee-black,56
Clowns Tee,2019-12-19,supreme-Clowns-Tee-black,Bad search
